n_influencers,valid_1,valid_2,n,p,num_edges,mean_degrees,std_num_followers,std_num_followings
9,1,1,10,0.01,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.01,0,0.0,0.0,0.0
9,1,1,10,0.01,1,0.1,0.30000000000000004,0.30000000000000004
8,1,1,10,0.01,2,0.2,0.4,0.4
9,1,1,10,0.01,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.01,0,0.0,0.0,0.0
10,1,1,10,0.01,0,0.0,0.0,0.0
10,1,1,10,0.01,0,0.0,0.0,0.0
10,1,1,10,0.01,0,0.0,0.0,0.0
10,1,1,10,0.01,0,0.0,0.0,0.0
8,1,1,10,0.01,3,0.3,0.45825756949558394,0.6403124237432849
9,1,1,10,0.01,1,0.1,0.30000000000000004,0.30000000000000004
7,1,1,10,0.01,3,0.3,0.6403124237432849,0.45825756949558394
9,1,1,10,0.01,1,0.1,0.30000000000000004,0.30000000000000004
10,1,1,10,0.01,0,0.0,0.0,0.0
